genome	accession	families	n_families	seq_ids	metalnet_analyzed	has_metalnet_site	site_residues	composition	max_prob	n_neighbor_genes	metal_gene_within_200bp	metal_gene_within_500bp	effective_metalloregulator
Mavi_homi	WP_009974218.1	MarR_AdcR	1	WP_009974218_1	yes	no	-	-	-				
Mavi_homi	WP_009975136.1	MarR_AdcR	1	WP_009975136_1	yes	no	-	-	-				
Mavi_homi	WP_009975678.1	Rrf2_ecIscR	1	WP_009975678_1	yes	no	-	-	-				
Mavi_homi	WP_009977019.1	PbrR;ecZntR	2	WP_009977019_1;WP_009977019_1_v2	yes	no	-	-	-				
Mavi_homi	WP_009978709.1	TetR_SczA	1	WP_009978709_1	yes	no	-	-	-				
Mavi_homi	WP_009979012.1	MarR_AdcR	1	WP_009979012_1	yes	no	-	-	-				
Mavi_homi	WP_010948879.1	TetR_SczA	1	WP_010948879_1	yes	no	-	-	-				
Mavi_homi	WP_011724184.1	BsCzrA;mtNmtR	2	WP_011724184_1	yes	no	-	-	-				
Mavi_homi	WP_011724231.1	GntR_LldR	1	WP_011724231_1	yes	yes	H139,H181,H203	3H	0.965				
Mavi_homi	WP_011724270.1	PbrR;ecZntR	2	WP_011724270_1;WP_011724270_1_v2	yes	no	-	-	-				
Mavi_homi	WP_011724342.1	TetR_SczA	1	WP_011724342_1	yes	no	-	-	-				
Mavi_homi	WP_011724552.1	ecFur;ecZur	2	WP_011724552_1	yes	yes	H85,H87,C91,C94,H123,C131,C134	4C,3H	0.991				
Mavi_homi	WP_011725103.1	CopY_saMecI	1	WP_011725103_1	yes	no	-	-	-				
Mavi_homi	WP_011725824.1	TetR_SczA	1	WP_011725824_1	yes	no	-	-	-				
Mavi_homi	WP_011726214.1	MarR_AdcR	1	WP_011726214_1	yes	no	-	-	-				
Mavi_homi	WP_011726501.1	TetR_SczA	1	WP_011726501_1	yes	no	-	-	-				
Mavi_homi	WP_014379994.1	BsCzrA;mtNmtR	2	WP_014379994_1	yes	no	-	-	-				
Mavi_homi	WP_019732316.1	PbrR;ecZntR	2	WP_019732316_1;WP_019732316_1_v2	yes	no	-	-	-				
Mavi_homi	WP_019732662.1	GntR_LldR	1	WP_019732662_1	yes	no	-	-	-				
Mavi_homi	WP_019733271.1	GntR_LldR	1	WP_019733271_1	yes	no	-	-	-				
Mavi_homi	WP_019733374.1	MarR_AdcR	1	WP_019733374_1	yes	no	-	-	-				
Mavi_homi	WP_019733678.1	PbrR;ecZntR	2	WP_019733678_1	yes	no	-	-	-				
Mavi_homi	WP_023860833.1	GntR_LldR	1	WP_023860833_1	yes	no	-	-	-				
Mavi_homi	WP_023861029.1	MarR_AdcR	1	WP_023861029_1	yes	no	-	-	-				
Mavi_homi	WP_023861587.1	PbrR;ecZntR	2	WP_023861587_1	yes	no	-	-	-				
Mavi_homi	WP_033710793.1	GntR_LldR	1	WP_033710793_1	yes	no	-	-	-				
Mavi_homi	WP_033712699.1	DtxR_bsMntR	1	WP_033712699_1	yes	yes	H79,E83,H98,C102,E105	1C,2H,2E	0.975				
Mavi_homi	WP_033712913.1	CopY_saMecI	1	WP_033712913_1	yes	no	-	-	-				
Mavi_homi	WP_033717296.1	TetR_SczA	1	WP_033717296_1	yes	no	-	-	-				
Mavi_homi	WP_033718214.1	GntR_LldR	1	WP_033718214_1	yes	no	-	-	-				
Mavi_homi	WP_033719851.1	ecFur;ecZur	2	WP_033719851_1	yes	yes	E82,H89,H90,H91,C94,C97,D102,C105,C112,C138,C141	6C,3H,1E,1D	0.995				
Mavi_homi	WP_033720046.1	PbrR;ecZntR	2	WP_033720046_1	yes	yes	C108,C110,C116	3C	0.898				
Mavi_homi	WP_033720368.1	GntR_LldR	1	WP_033720368_1	yes	no	-	-	-				
Mavi_homi	WP_033720902.1	GntR_LldR	1	WP_033720902_1	yes	yes	E112,H153,H202,H224,H407,H454,H476	6H,1E	0.942				
Mavi_homi	WP_057969459.1	TetR_SczA	1	WP_057969459_1	yes	no	-	-	-				
Mavi_homi	WP_095785912.1	GntR_LldR	1	WP_095785912_1	no	NA	-	-	-				
Mavi_homi	WP_132160229.1	BsCzrA;mtNmtR	2	WP_132160229_1	yes	no	-	-	-				
Mavi_homi	WP_132160431.1	TetR_SczA	1	WP_132160431_1	yes	no	-	-	-				
MtubH37Rv	NP_214556.1	MarR_AdcR	1	NP_214556_1	yes	no	-	-	-				
MtubH37Rv	NP_214557.1	GntR_LldR	1	NP_214557_1	yes	no	-	-	-				
MtubH37Rv	NP_214595.1	BsCzrA;mtNmtR	2	NP_214595_1	yes	no	-	-	-				
MtubH37Rv	NP_214704.1	CsoR_bsCsoR	1	NP_214704_1	yes	yes	C38,H63,C67	2C,1H	0.883				
MtubH37Rv	NP_214816.1	TetR_SczA	1	NP_214816_1	yes	no	-	-	-				
MtubH37Rv	NP_214838.1	BsCzrA;mtNmtR	2	NP_214838_1;NP_214838_1_v2	yes	no	-	-	-				
MtubH37Rv	NP_214867.1	PbrR;ecZntR	2	NP_214867_1	yes	no	-	-	-				
MtubH37Rv	NP_215008.2	GntR_LldR	1	NP_215008_2	yes	no	-	-	-				
MtubH37Rv	NP_215090.1	BsCzrA;mtNmtR	2	NP_215090_1;NP_215090_1_v2	yes	no	-	-	-				
MtubH37Rv	NP_215100.1	GntR_LldR	1	NP_215100_1	yes	no	-	-	-				
MtubH37Rv	NP_215281.1	TetR_SczA	1	NP_215281_1	yes	no	-	-	-				
MtubH37Rv	NP_215307.1	GntR_LldR	1	NP_215307_1	yes	no	-	-	-				
MtubH37Rv	NP_215342.1	BsCzrA;mtNmtR	2	NP_215342_1	yes	yes	H88,D95	1H,1D	0.809				
MtubH37Rv	NP_215482.1	CsoR_bsCsoR	1	NP_215482_1	yes	yes	C36,H61,C65	2C,1H	0.846				
MtubH37Rv	NP_215535.1	TetR_SczA	1	NP_215535_1	yes	no	-	-	-				
MtubH37Rv	NP_215668.1	GntR_LldR	1	NP_215668_1	yes	no	-	-	-				
MtubH37Rv	NP_215803.1	Rrf2_ecIscR	1	NP_215803_1	yes	no	-	-	-				
MtubH37Rv	NP_215920.1	MarR_AdcR	1	NP_215920_1	yes	no	-	-	-				
MtubH37Rv	NP_216190.1	BsCzrA;mtNmtR	2	NP_216190_1;NP_216190_1_v2	yes	no	-	-	-				
MtubH37Rv	NP_216282.2	CsoR_bsCsoR	1	NP_216282_2	yes	no	-	-	-				
MtubH37Rv	NP_216344.1	PbrR;ecZntR	2	NP_216344_1;NP_216344_1_v2	yes	no	-	-	-				
MtubH37Rv	NP_216362.1	CopY_saMecI	1	NP_216362_1	yes	no	-	-	-				
MtubH37Rv	NP_216425.2	ecFur;ecZur	2	NP_216425_2	yes	yes	E82,H89,H91,C94,C97,D102,C134,C137	4C,2H,1E,1D	0.992				
MtubH37Rv	NP_216510.1	BsCzrA;mtNmtR	2	NP_216510_1	yes	no	-	-	-				
MtubH37Rv	NP_216550.1	BsCzrA;mtNmtR	2	NP_216550_1	yes	no	-	-	-				
MtubH37Rv	NP_216874.1	BsCzrA;mtNmtR	2	NP_216874_1	yes	yes	D116,H118,H121,H129,E132	3H,1E,1D	0.89				
MtubH37Rv	NP_216875.1	ecFur;ecZur	2	NP_216875_1	yes	yes	H79,H80,H81,H82,C85,C88,E93,H117,C125,C128	4C,5H,1E	0.993				
MtubH37Rv	NP_217156.1	BsCzrA;mtNmtR	2	NP_217156_1	yes	no	-	-	-				
MtubH37Rv	NP_217158.1	BsCzrA;mtNmtR	2	NP_217158_1	yes	no	-	-	-				
MtubH37Rv	NP_217227.1	DtxR_bsMntR	1	NP_217227_1	yes	yes	H79,E83,H98,C102,E105	1C,2H,2E	0.974				
MtubH37Rv	NP_217304.1	DtxR_bsMntR	1	NP_217304_1	yes	yes	H86,E90,H105,E109,E112,D133,H135,D137	3H,3E,2D	0.966				
MtubH37Rv	NP_217574.1	TetR_SczA	1	NP_217574_1	yes	no	-	-	-				
MtubH37Rv	NP_217576.1	GntR_LldR	1	NP_217576_1	yes	yes	E408,H412,H459,H481	3H,1E	0.89				
MtubH37Rv	NP_217676.1	TetR_SczA	1	NP_217676_1	yes	no	-	-	-				
MtubH37Rv	NP_217851.1	PbrR;ecZntR	2	NP_217851_1	yes	no	-	-	-				
MtubH37Rv	NP_218074.1	TetR_SczA	1	NP_218074_1	yes	no	-	-	-				
MtubH37Rv	NP_218261.1	BsCzrA;mtNmtR	2	NP_218261_1	yes	yes	D91,H93,E100,H104,H107	3H,1E,1D	0.932				
VchoRFB16	WP_000098098.1	MarR_AdcR	1	WP_000098098_1	yes	no	-	-	-				
VchoRFB16	WP_000226968.1	PbrR;ecZntR	2	WP_000226968_1;WP_000226968_1_v2	yes	no	-	-	-				
VchoRFB16	WP_000234820.1	GntR_LldR	1	WP_000234820_1	yes	no	-	-	-				
VchoRFB16	WP_000245564.1	ecFur;ecZur	2	WP_000245564_1	yes	yes	C103,C106,C143,C146	4C	0.995				
VchoRFB16	WP_000331318.1	GntR_LldR	1	WP_000331318_1	yes	no	-	-	-				
VchoRFB16	WP_000410818.1	MarR_AdcR	1	WP_000410818_1	yes	no	-	-	-				
VchoRFB16	WP_000486335.1	PbrR;ecZntR	2	WP_000486335_1	yes	yes	C79,C125	2C	0.878				
VchoRFB16	WP_000842742.1	GntR_LldR	1	WP_000842742_1	yes	yes	D143,H147,H192,H214	3H,1D	0.978				
VchoRFB16	WP_000887845.1	MarR_AdcR	1	WP_000887845_1	yes	no	-	-	-				
VchoRFB16	WP_000936745.1	BsCzrA;mtNmtR	2	WP_000936745_1;WP_000936745_1_v2	yes	no	-	-	-				
VchoRFB16	WP_001027397.1	PbrR;ecZntR	2	WP_001027397_1	yes	yes	C112,C120	2C	0.928				
VchoRFB16	WP_001053149.1	BsCzrA;mtNmtR	2	WP_001053149_1	yes	no	-	-	-				
VchoRFB16	WP_001114934.1	BsCzrA;mtNmtR	2	WP_001114934_1	yes	no	-	-	-				
VchoRFB16	WP_001200476.1	GntR_LldR	1	WP_001200476_1	yes	no	-	-	-				
VchoRFB16	WP_001282826.1	ecFur;ecZur	2	WP_001282826_1	yes	yes	E81,H87,H88,D89,H90,C93,C96,E101,E108,H125,C133,D136	3C,4H,3E,2D	0.966				
VchoRFB16	WP_001918301.1	Rrf2_ecIscR	1	WP_001918301_1	yes	yes	C92,C98,C104,H107	3C,1H	0.907				
VchoRFB16	WP_032469534.1	MarR_AdcR	1	WP_032469534_1	yes	no	-	-	-				
VchoRFB16	WP_033928387.1	GntR_LldR	1	WP_033928387_1	yes	no	-	-	-				
VchoRFB16	WP_149560760.1	PbrR;ecZntR	2	WP_149560760_1	yes	yes	C110,C113,C115,C121	4C	0.972				
VvulNBRC	WP_011078600.1	BsCzrA;mtNmtR	2	WP_011078600_1	yes	no	-	-	-				
VvulNBRC	WP_011079257.1	TetR_SczA	1	WP_011079257_1	yes	no	-	-	-				
VvulNBRC	WP_011079554.1	GntR_LldR	1	WP_011079554_1	yes	no	-	-	-				
VvulNBRC	WP_011080105.1	GntR_LldR	1	WP_011080105_1	yes	no	-	-	-				
VvulNBRC	WP_011081967.1	GntR_LldR	1	WP_011081967_1	yes	yes	E111,D151,H155,H204,H226	3H,1E,1D	0.973				
VvulNBRC	WP_011151269.1	ecFur;ecZur	2	WP_011151269_1	yes	yes	C103,C106,C143,C146	4C	0.994				
VvulNBRC	WP_011151851.1	GntR_LldR	1	WP_011151851_1	yes	no	-	-	-				
VvulNBRC	WP_013572351.1	Rrf2_ecIscR	1	WP_013572351_1	yes	yes	C92,C98,C104,H107	3C,1H	0.914				
VvulNBRC	WP_015728056.1	PbrR;ecZntR	2	WP_015728056_1	yes	no	-	-	-				
VvulNBRC	WP_017419581.1	MarR_AdcR	1	WP_017419581_1	yes	yes	E22,E40,H104,H108	2H,2E	0.9				
VvulNBRC	WP_017419586.1	TetR_SczA	1	WP_017419586_1	yes	no	-	-	-				
VvulNBRC	WP_017419776.1	PbrR;ecZntR	2	WP_017419776_1	yes	yes	C79,C114,C125	3C	0.869				
VvulNBRC	WP_017419796.1	MarR_AdcR	1	WP_017419796_1	yes	no	-	-	-				
VvulNBRC	WP_017420393.1	BsCzrA;mtNmtR	2	WP_017420393_1	yes	no	-	-	-				
VvulNBRC	WP_017420471.1	PbrR;ecZntR	2	WP_017420471_1;WP_017420471_1_v2	yes	no	-	-	-				
VvulNBRC	WP_017421059.1	GntR_LldR	1	WP_017421059_1	yes	no	-	-	-				
VvulNBRC	WP_017421405.1	MarR_AdcR	1	WP_017421405_1	yes	no	-	-	-				
VvulNBRC	WP_017421487.1	PbrR;ecZntR	2	WP_017421487_1	yes	yes	C110,C113,C115,C121	4C	0.966				
VvulNBRC	WP_017421861.1	GntR_LldR	1	WP_017421861_1	yes	no	-	-	-				
VvulNBRC	WP_017421885.1	TetR_SczA	1	WP_017421885_1	yes	no	-	-	-				
VvulNBRC	WP_017422153.1	GntR_LldR	1	WP_017422153_1	yes	yes	E101,D145,H149,H194,H216	3H,1E,1D	0.981				
VvulNBRC	WP_017422374.1	PbrR;ecZntR	2	WP_017422374_1;WP_017422374_1_v2	yes	no	-	-	-				
VvulNBRC	WP_017422578.1	PbrR;ecZntR	2	WP_017422578_1	yes	yes	C112,C120	2C	0.921				
VvulNBRC	WP_026050216.1	MarR_AdcR	1	WP_026050216_1	yes	no	-	-	-				
VvulNBRC	WP_026050458.1	ecFur;ecZur	2	WP_026050458_1	yes	yes	E81,H87,H88,D89,H90,C93,C96,E101,E108,H125,C133	3C,4H,3E,1D	0.972				
VvulNBRC	WP_026050517.1	GntR_LldR	1	WP_026050517_1	yes	no	-	-	-				
VvulNBRC	WP_026050839.1	MarR_AdcR	1	WP_026050839_1	yes	no	-	-	-				
VvulNBRC	WP_038939556.1	Rrf2_ecIscR	1	WP_038939556_1	yes	yes	C91,C96,C102	3C	0.934				
VvulNBRC	WP_038941075.1	BsCzrA;mtNmtR	2	WP_038941075_1	yes	no	-	-	-				
VvulNBRC	WP_049798003.1	GntR_LldR	1	WP_049798003_1	yes	no	-	-	-				
