seq_id	accessions	length	pct_X	n_org	n_fam	organisms	families
WP_003874323_1	WP_003874323.1	68	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_003875762_1	WP_003875762.1	87	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_003877537_1	WP_003877537.1	198	0.51	1	1	Mavi_homi_e-5	TetR_SczA
WP_003879269_1	WP_003879269.1	78	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_007172204_1	WP_007172204.1	115	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_008257468_1	WP_008257468.1	69	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_009978709_1	WP_009978709.1	79	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_010948879_1	WP_010948879.1	203	0.49	1	1	Mavi_homi_e-5	TetR_SczA
WP_011724342_1	WP_011724342.1	73	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_011725824_1	WP_011725824.1	71	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_011726501_1	WP_011726501.1	78	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_033717296_1	WP_033717296.1	72	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_057969459_1	WP_057969459.1	200	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_132160431_1	WP_132160431.1	140	0.0	1	1	Mavi_homi_e-5	TetR_SczA
WP_011724552_1	WP_011724552.1	136	0.74	1	2	Mavi_homi_e-5	ecFur;ecZur
WP_033719851_1	WP_033719851.1	147	0.68	1	2	Mavi_homi_e-5	ecFur;ecZur
WP_009977019_1_v2	WP_009977019.1	83	0.0	1	1	Mavi_homi_e-5	ecZntR
WP_011724270_1_v2	WP_011724270.1	132	0.0	1	1	Mavi_homi_e-5	ecZntR
WP_019732316_1_v2	WP_019732316.1	123	0.0	1	1	Mavi_homi_e-5	ecZntR
NP_214595_1	NP_214595.1	115	0.87	1	2	MtubH37Rv_e-5	BsCzrA;mtNmtR
NP_214838_1	NP_214838.1	101	0.0	1	1	MtubH37Rv_e-5	BsCzrA
NP_215090_1	NP_215090.1	101	0.0	1	1	MtubH37Rv_e-5	BsCzrA
NP_215342_1	NP_215342.1	131	0.76	1	2	MtubH37Rv_e-5	BsCzrA;mtNmtR
NP_216190_1	NP_216190.1	131	0.0	1	1	MtubH37Rv_e-5	BsCzrA
NP_216510_1	NP_216510.1	119	0.84	1	2	MtubH37Rv_e-5	BsCzrA;mtNmtR
NP_216550_1	NP_216550.1	108	0.93	1	2	MtubH37Rv_e-5	BsCzrA;mtNmtR
NP_216874_1	NP_216874.1	136	0.74	1	2	MtubH37Rv_e-5	BsCzrA;mtNmtR
NP_217156_1	NP_217156.1	120	0.83	1	2	MtubH37Rv_e-5	BsCzrA;mtNmtR
NP_217158_1	NP_217158.1	127	0.79	1	2	MtubH37Rv_e-5	BsCzrA;mtNmtR
NP_218261_1	NP_218261.1	121	0.83	1	2	MtubH37Rv_e-5	BsCzrA;mtNmtR
NP_216362_1	NP_216362.1	139	0.72	1	1	MtubH37Rv_e-5	CopY_saMecI
NP_214704_1	NP_214704.1	97	1.03	1	1	MtubH37Rv_e-5	CsoR_bsCsoR
NP_215482_1	NP_215482.1	120	0.83	1	1	MtubH37Rv_e-5	CsoR_bsCsoR
NP_216282_2	NP_216282.2	90	1.11	1	1	MtubH37Rv_e-5	CsoR_bsCsoR
NP_217227_1	NP_217227.1	154	0.0	1	1	MtubH37Rv_e-5	DtxR_bsMntR
NP_217304_1	NP_217304.1	148	0.0	1	1	MtubH37Rv_e-5	DtxR_bsMntR
NP_214557_1	NP_214557.1	68	0.0	1	1	MtubH37Rv_e-5	GntR_LldR
NP_215008_2	NP_215008.2	243	0.41	1	1	MtubH37Rv_e-5	GntR_LldR
NP_215100_1	NP_215100.1	241	0.41	1	1	MtubH37Rv_e-5	GntR_LldR
NP_215307_1	NP_215307.1	86	0.0	1	1	MtubH37Rv_e-5	GntR_LldR
NP_215668_1	NP_215668.1	74	0.0	1	1	MtubH37Rv_e-5	GntR_LldR
NP_217576_1	NP_217576.1	491	0.2	1	1	MtubH37Rv_e-5	GntR_LldR
NP_214556_1	NP_214556.1	128	0.78	1	1	MtubH37Rv_e-5	MarR_AdcR
NP_215920_1	NP_215920.1	125	0.8	1	1	MtubH37Rv_e-5	MarR_AdcR
NP_214867_1	NP_214867.1	127	0.79	1	2	MtubH37Rv_e-5	PbrR;ecZntR
NP_216344_1	NP_216344.1	85	0.0	1	1	MtubH37Rv_e-5	PbrR
NP_217851_1	NP_217851.1	147	0.68	1	2	MtubH37Rv_e-5	PbrR;ecZntR
NP_215803_1	NP_215803.1	162	0.62	1	1	MtubH37Rv_e-5	Rrf2_ecIscR
NP_214816_1	NP_214816.1	70	0.0	1	1	MtubH37Rv_e-5	TetR_SczA
NP_215281_1	NP_215281.1	87	0.0	1	1	MtubH37Rv_e-5	TetR_SczA
NP_215535_1	NP_215535.1	198	0.51	1	1	MtubH37Rv_e-5	TetR_SczA
NP_217574_1	NP_217574.1	87	0.0	1	1	MtubH37Rv_e-5	TetR_SczA
NP_217676_1	NP_217676.1	161	0.0	1	1	MtubH37Rv_e-5	TetR_SczA
NP_218074_1	NP_218074.1	201	0.5	1	1	MtubH37Rv_e-5	TetR_SczA
NP_216425_2	NP_216425.2	148	0.68	1	2	MtubH37Rv_e-5	ecFur;ecZur
NP_216875_1	NP_216875.1	131	0.76	1	2	MtubH37Rv_e-5	ecFur;ecZur
NP_216344_1_v2	NP_216344.1	81	0.0	1	1	MtubH37Rv_e-5	ecZntR
NP_214838_1_v2	NP_214838.1	120	0.0	1	1	MtubH37Rv_e-5	mtNmtR
NP_215090_1_v2	NP_215090.1	112	0.0	1	1	MtubH37Rv_e-5	mtNmtR
NP_216190_1_v2	NP_216190.1	126	0.0	1	1	MtubH37Rv_e-5	mtNmtR
WP_000936745_1	WP_000936745.1	114	0.88	1	1	VchoRFB16_e-5	BsCzrA
WP_001053149_1	WP_001053149.1	101	0.99	1	2	VchoRFB16_e-5	BsCzrA;mtNmtR
WP_001114934_1	WP_001114934.1	106	0.94	1	2	VchoRFB16_e-5	BsCzrA;mtNmtR
WP_000234820_1	WP_000234820.1	280	0.36	1	1	VchoRFB16_e-5	GntR_LldR
WP_000331318_1	WP_000331318.1	257	0.39	1	1	VchoRFB16_e-5	GntR_LldR
WP_000842742_1	WP_000842742.1	235	0.43	1	1	VchoRFB16_e-5	GntR_LldR
WP_001200476_1	WP_001200476.1	235	0.43	1	1	VchoRFB16_e-5	GntR_LldR
WP_033928387_1	WP_033928387.1	201	0.0	1	1	VchoRFB16_e-5	GntR_LldR
WP_000098098_1	WP_000098098.1	108	0.93	1	1	VchoRFB16_e-5	MarR_AdcR
WP_000410818_1	WP_000410818.1	160	0.62	1	1	VchoRFB16_e-5	MarR_AdcR
WP_000887845_1	WP_000887845.1	87	1.15	1	1	VchoRFB16_e-5	MarR_AdcR
WP_032469534_1	WP_032469534.1	113	0.88	1	1	VchoRFB16_e-5	MarR_AdcR
WP_000226968_1	WP_000226968.1	121	0.0	1	1	VchoRFB16_e-5	PbrR
WP_000486335_1	WP_000486335.1	133	0.75	1	2	VchoRFB16_e-5	PbrR;ecZntR
WP_001027397_1	WP_001027397.1	140	0.71	1	2	VchoRFB16_e-5	PbrR;ecZntR
WP_149560760_1	WP_149560760.1	149	0.67	1	2	VchoRFB16_e-5	PbrR;ecZntR
WP_001918301_1	WP_001918301.1	174	0.57	1	1	VchoRFB16_e-5	Rrf2_ecIscR
WP_000245564_1	WP_000245564.1	155	0.65	1	2	VchoRFB16_e-5	ecFur;ecZur
WP_001282826_1	WP_001282826.1	151	0.66	1	2	VchoRFB16_e-5	ecFur;ecZur
WP_000226968_1_v2	WP_000226968.1	145	0.0	1	1	VchoRFB16_e-5	ecZntR
WP_000936745_1_v2	WP_000936745.1	73	0.0	1	1	VchoRFB16_e-5	mtNmtR
WP_011078600_1	WP_011078600.1	99	1.01	1	2	VvulNBRC_e-5	BsCzrA;mtNmtR
WP_017420393_1	WP_017420393.1	112	0.89	1	2	VvulNBRC_e-5	BsCzrA;mtNmtR
WP_038941075_1	WP_038941075.1	104	0.96	1	2	VvulNBRC_e-5	BsCzrA;mtNmtR
WP_011079554_1	WP_011079554.1	256	0.39	1	1	VvulNBRC_e-5	GntR_LldR
WP_011080105_1	WP_011080105.1	280	0.36	1	1	VvulNBRC_e-5	GntR_LldR
WP_011081967_1	WP_011081967.1	264	0.38	1	1	VvulNBRC_e-5	GntR_LldR
WP_011151851_1	WP_011151851.1	235	0.43	1	1	VvulNBRC_e-5	GntR_LldR
WP_017421059_1	WP_017421059.1	81	0.0	1	1	VvulNBRC_e-5	GntR_LldR
WP_017421861_1	WP_017421861.1	73	0.0	1	1	VvulNBRC_e-5	GntR_LldR
WP_017422153_1	WP_017422153.1	232	0.43	1	1	VvulNBRC_e-5	GntR_LldR
WP_026050517_1	WP_026050517.1	203	0.0	1	1	VvulNBRC_e-5	GntR_LldR
WP_049798003_1	WP_049798003.1	78	0.0	1	1	VvulNBRC_e-5	GntR_LldR
WP_017419581_1	WP_017419581.1	139	0.72	1	1	VvulNBRC_e-5	MarR_AdcR
WP_017419796_1	WP_017419796.1	94	1.06	1	1	VvulNBRC_e-5	MarR_AdcR
WP_017421405_1	WP_017421405.1	108	0.93	1	1	VvulNBRC_e-5	MarR_AdcR
WP_026050216_1	WP_026050216.1	78	0.0	1	1	VvulNBRC_e-5	MarR_AdcR
WP_026050839_1	WP_026050839.1	97	1.03	1	1	VvulNBRC_e-5	MarR_AdcR
WP_015728056_1	WP_015728056.1	130	0.77	1	2	VvulNBRC_e-5	PbrR;ecZntR
WP_017419776_1	WP_017419776.1	133	0.75	1	2	VvulNBRC_e-5	PbrR;ecZntR
WP_017420471_1	WP_017420471.1	149	0.0	1	1	VvulNBRC_e-5	PbrR
WP_017421487_1	WP_017421487.1	156	0.64	1	2	VvulNBRC_e-5	PbrR;ecZntR
WP_017422374_1	WP_017422374.1	129	0.0	1	1	VvulNBRC_e-5	PbrR
WP_017422578_1	WP_017422578.1	129	0.78	1	2	VvulNBRC_e-5	PbrR;ecZntR
WP_013572351_1	WP_013572351.1	169	0.59	1	1	VvulNBRC_e-5	Rrf2_ecIscR
WP_038939556_1	WP_038939556.1	142	0.7	1	1	VvulNBRC_e-5	Rrf2_ecIscR
WP_011079257_1	WP_011079257.1	164	0.0	1	1	VvulNBRC_e-5	TetR_SczA
WP_017419586_1	WP_017419586.1	77	0.0	1	1	VvulNBRC_e-5	TetR_SczA
WP_017421885_1	WP_017421885.1	80	0.0	1	1	VvulNBRC_e-5	TetR_SczA
WP_011151269_1	WP_011151269.1	150	0.67	1	2	VvulNBRC_e-5	ecFur;ecZur
WP_026050458_1	WP_026050458.1	150	0.67	1	2	VvulNBRC_e-5	ecFur;ecZur
WP_017420471_1_v2	WP_017420471.1	135	0.0	1	1	VvulNBRC_e-5	ecZntR
WP_017422374_1_v2	WP_017422374.1	172	0.0	1	1	VvulNBRC_e-5	ecZntR
